query,latitude,longitude
"RUA VINTE E OITO DE SETEMBRO, 2350 - BLOCO 01;ANDAR 11;APT 92 - CENTRO - São Carlos/SP - CEP 13560-270",-22.010581983258,-47.887400960497
"AVENIDA JOSE POIANAS, 152 - PARQUE DOS TIMBURIS - São Carlos/SP - CEP 13569-700",-22.017397979282,-47.857999004357
"RUA DOUTOR PROCOPIO TOLEDO MALTA, 41 - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13563-308",-21.9968838,-47.9154712
"RUA CONDE DO PINHAL, 1762 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-648",-22.0180242,-47.8928099
"RUA BYRON ORTIZ DE ARAUJO, 304 - VILA JACOBUCCI - São Carlos/SP - CEP 13567-230",-22.0062726,-47.8710439
"RUA RAFAEL DE ABREU SAMPAIO VIDAL, 1417 - CENTRO - São Carlos/SP - CEP 13560-050",-22.0154289,-47.8828182
"RUA HUMBERTO  DE CAMPOS, 591 - VILA LUTFALLA - São Carlos/SP - CEP 13570-670",-22.0310059,-47.8878914
"RUA PAULO FRAGOSO COIMBRA, 275 - APT   82 - JARDIM ALVORADA - São Carlos/SP - CEP 13562-340",-22.009273987268,-47.906535001428
"RUA JOSE DE PAULA LATTANZIO, 250 - PARQUE PRIMAVERA - São Carlos/SP - CEP 13567-510",-22.008465007883,-47.867481032325
"RUA PROFESSOR HELVIDEO GOUVEA, 286 - VILA BOA VISTA - São Carlos/SP - CEP 13574-010",-22.036016994173,-47.898040026379
"RUA ABRAHAO JOAO, 960 - JARDIM BANDEIRANTES - São Carlos/SP - CEP 13562-150",-22.0021104,-47.907599
"RUA PASSEIO DOS FLAMBOYANTS, 60 - SALA  407                 COND  TRIADE                    PREDIO SAO PAULO - PQ FABER CASTELL I - São Carlos/SP - CEP 13561-352",-22.0180395,-47.891154
"AVENIDA DOM CARMINE ROCCO, 995 - JARDIM TANGARA - São Carlos/SP - CEP 13568-120",-22.0180395,-47.891154
"RUA SEBASTIAO RAMOS, 70 - LOTEAMENTO TUTOYA DO VALE - São Carlos/SP - CEP 13566-841",-21.936311992787,-47.896087964948
"RUA JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 924 - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13563-330",-21.9988384,-47.9200791
"RUA CANDIDO PADIM, 321 - VILA PRADO - São Carlos/SP - CEP 13574-320",-22.0243049,-47.8996353
"RUA TREZE DE MAIO, 3345 - VILA FARIA - São Carlos/SP - CEP 13569-040",-22.018561010258,-47.877491958382
"RUA JESUINO DE ARRUDA, 3040 - BRCAO - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-642",-22.019633131693,-47.881701619986
"RUA GEMINIANO COSTA, SN - BOX 4 - JARDIM BRASIL - São Carlos/SP - CEP 13569-310",-22.020401744937,-47.877726998952
"RUA FIRMINO BRIGANTE, 475 - CIDADE ARACY - São Carlos/SP - CEP 13573-122",-22.0578393,-47.8999347
"RUA ANTONIO BLANCO, 1.451 - SALA  A - JARDIM SAO JOAO BATISTA - São Carlos/SP - CEP 13567-060",-22.0180395,-47.891154
"RUA JOAQUIM EDUARDO CATARINO, 1925 - CASA - VILA RANCHO VELHO - São Carlos/SP - CEP 13569-070",-22.017011992641,-47.871152976468
"RUA GENERAL OSORIO, 437 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-640",-22.0216567,-47.8951007
"RUA MARECHAL DEODORO, 2817 - CENTRO - São Carlos/SP - CEP 13560-201",-22.0150351,-47.8867846
"RUA JOSE BENETTI, 294 - VILA PRADO - São Carlos/SP - CEP 13574-300",-22.0266881,-47.9016641
"RUA ERNESTO CHIARI, 369 - TERREO - JARDIM SOCIAL BELVEDERE - São Carlos/SP - CEP 13575-801",-22.040388994869,-47.903633018911
"RUA GOIAS, 320 - JARDIM PACAEMBU - São Carlos/SP - CEP 13572-331",-22.0375437,-47.8941242
"RUA NOVE DE JULHO, 1280 - CENTRO - São Carlos/SP - CEP 13560-042",-22.017001,-47.8926712
