query,provider,latitude,longitude,display
"RUA EPISCOPAL, 2065 - LOJA A - CENTRO - São Carlos/SP - CEP 13560-049",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"AVENIDA SAO CARLOS, 2434 - SALA 1 - CENTRO - São Carlos/SP - CEP 13560-002",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"ALAMEDA DAS PITANGUEIRAS, 227 - PARQUE FABER CASTELL I - São Carlos/SP - CEP 13561-359",arcgis,-22.015256627744,-47.921131781647,"Alameda das Pitangueiras 227, São Carlos, São Paulo, 13561-359"
"RUA PAULO FRAGOSO COIMBRA, 258 - JARDIM ALVORADA - São Carlos/SP - CEP 13562-340",arcgis,-22.009236981165,-47.906646983655,"Rua Paulo Fragoso Coimbra 258, São Carlos, São Paulo, 13562-340"
"RUA SAO JOAQUIM, 2793 - VILA COSTA DO SOL - São Carlos/SP - CEP 13566-280",nominatim,-22.00324,-47.8890698,"Rua São Joaquim, Tijuco Preto, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13566-040, Brasil"
"AVENIDA GETULIO VARGAS, 743 - LOJA  4 - VILA LUTFALLA - São Carlos/SP - CEP 13570-672",arcgis,-22.032829985038,-47.884306026569,"Avenida Getulio Vargas 743, São Carlos, São Paulo, 13570-390"
"RUA FRANCISCO SCHIAVONE, 1409 - VILA BOA VISTA - São Carlos/SP - CEP 13575-070",nominatim,-22.0359362,-47.9060619,"Rua Francisco Schiavone, Vila Boa Vista II, Bela Vista São-Carlense, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13574-250, Brasil"
"AVENIDA MIGUEL DAMHA, 1400 - CASA  105 - PARQUE TECNOLOGICO DAMHA I SAO CARLOS - São Carlos/SP - CEP 13565-251",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA RUA CANDIDO PADIM, 454 - VILA PRADO - São Carlos/SP - CEP 13574-320",nominatim,-22.0242702,-47.8995775,"Rua Cândido Padim, Jardim São Carlos, Vila Prado, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13574-300, Brasil"
"RUA JOSE CALIJURI, 296 - FUNDOS - JARDIM HIKARI - São Carlos/SP - CEP 13564-430",arcgis,-21.993561984037,-47.900187972887,"Rua Jose Calijuri 296, São Carlos, São Paulo, 13564-430"
